0,otro
1,belisario quevedo
2,carcelen
3,centro historico
4,chilibulo
5,chimbacalle
6,cochapamba
7,comite del pueblo
8,cotocollao
9,el inca
10,el quinche
11,guamani
12,iñaquito
13,itchimbia
14,jipijapa
15,la argelia
16,la ecuatoriana
17,la ferroviaria
18,la libertad
19,la magdalena
20,la mena
21,la merced
22,la ronda
23,la tola
24,las casas
25,lloa
26,mariscal mucre
27,ponceano
28,puengasi
29,quitumbe
30,san bartolo
